code,label
1,Lançamento da Trilha COP30 (26/02)
2,Pagamento por Serviços Ambientais (11/06)
3,Finanças Climáticas para entes subnacionais (09/04)
4,Panorama sobre Finanças Sustentáveis (18/06)
5,Inovação Financeira e Tecnologias Emergentes (26/06)
6,COP30 no Brasil: Desafios e Oportunidades (26/03)
7,Taxonomia Sustentável Brasileira (02/04)
8,Planos de Transição Climática (16/04)
9,Regeneração Urbana como Estratégia para Resiliência Climática (29/07)
10,Mecanismos de Disclousure (CSRD e ISSB) e Mensuração de Impacto (02/07)
11,Planos de Transição Climática – aprofundamento (14/05)
12,NDC e Plano Clima (09/07)
13,Programas Jurisdicionais de REDD+ (30/04)
14,Não participei de nenhuma
